institution,metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
OULAD,tau_strict,shap,shap,self,0.8510637407694079,0.8365609100144791,0.8644178880657158,0.8916927807878168,6829
OULAD,tau_strict,occlusion,occlusion,self,0.6328989115048569,0.5927372469244397,0.6692118497081072,0.6826270317762483,6829
OULAD,tau_strict,lime,lime,self,0.7637191529123,0.7384164440528244,0.7909569529188235,0.8671913896617367,6829
OULAD,tau_strict,kernelshap_prob,kernelshap_prob,self,0.8510637407694079,0.8365609100144791,0.8644178880657158,0.8916927807878168,6829
OULAD,tau_strict,shap,occlusion,cross,0.30513426632917046,0.27336518795203407,0.3363180687766953,0.5240474447210427,6829
OULAD,tau_strict,shap,lime,cross,0.601391823386259,0.5728275707401921,0.6297139335285529,0.7668736271782105,6829
OULAD,tau_strict,shap,kernelshap_prob,cross,1.0,1.0,1.0,1.0,6829
OULAD,tau_strict,occlusion,lime,cross,0.1430691239740881,0.11081609361693397,0.17506517359557064,0.4599062820325084,6829
OULAD,tau_strict,occlusion,kernelshap_prob,cross,0.30513426632917046,0.27336518795203407,0.3363180687766953,0.5240474447210427,6829
OULAD,tau_strict,lime,kernelshap_prob,cross,0.601391823386259,0.5728275707401921,0.6297139335285529,0.7668736271782105,6829
OULAD,tau_b,shap,shap,self,0.8510637407694079,0.8365609100144791,0.8644178880657158,,6829
OULAD,tau_b,occlusion,occlusion,self,0.6320230164195667,0.5931373677247059,0.6669381129093521,,6829
OULAD,tau_b,lime,lime,self,0.7637191529123,0.7384164440528244,0.7909569529188235,,6829
OULAD,tau_b,kernelshap_prob,kernelshap_prob,self,0.8510637407694079,0.8365609100144791,0.8644178880657158,,6829
OULAD,tau_b,shap,occlusion,cross,0.31130448283109335,0.27835974952082815,0.3451501169629776,,6829
OULAD,tau_b,shap,lime,cross,0.601391823386259,0.5728275707401921,0.6297139335285529,,6829
OULAD,tau_b,shap,kernelshap_prob,cross,1.0,1.0,1.0,,6829
OULAD,tau_b,occlusion,lime,cross,0.14799617806043605,0.11490732098540953,0.1815029398474123,,6829
OULAD,tau_b,occlusion,kernelshap_prob,cross,0.31130448283109335,0.27835974952082815,0.3451501169629776,,6829
OULAD,tau_b,lime,kernelshap_prob,cross,0.601391823386259,0.5728275707401921,0.6297139335285529,,6829
KU Leuven,tau_strict,shap,shap,self,0.8132637529897804,0.7959485431374336,0.8286138248382872,0.8334094368340943,1314
KU Leuven,tau_strict,occlusion,occlusion,self,0.8035804885119954,0.7844405847445362,0.8226190513608008,0.7381659056316591,1314
KU Leuven,tau_strict,lime,lime,self,0.5929259984054505,0.5416644076985633,0.6377808184134615,0.6985844748858447,1314
KU Leuven,tau_strict,kernelshap_prob,kernelshap_prob,self,0.8132637529897804,0.7959485431374336,0.8286138248382872,0.8334094368340943,1314
KU Leuven,tau_strict,shap,occlusion,cross,0.5478582300500109,0.5059086035023969,0.6062505002504713,0.6071080669710807,1314
KU Leuven,tau_strict,shap,lime,cross,0.3925056171631514,0.3282735797021511,0.45139032070498614,0.5242465753424657,1314
KU Leuven,tau_strict,shap,kernelshap_prob,cross,1.0,1.0,1.0,1.0,1314
KU Leuven,tau_strict,occlusion,lime,cross,0.2385156193375372,0.16958503876742875,0.3211822660098523,0.44846270928462706,1314
KU Leuven,tau_strict,occlusion,kernelshap_prob,cross,0.5478582300500109,0.5059086035023969,0.6062505002504713,0.6071080669710807,1314
KU Leuven,tau_strict,lime,kernelshap_prob,cross,0.3925056171631514,0.3282735797021511,0.45139032070498614,0.5242465753424657,1314
KU Leuven,tau_b,shap,shap,self,0.8132637529897804,0.7959485431374336,0.8286138248382872,,1314
KU Leuven,tau_b,occlusion,occlusion,self,0.7842022740598643,0.7703533747560728,0.7970311832596197,,1314
KU Leuven,tau_b,lime,lime,self,0.5929259984054505,0.5416644076985633,0.6377808184134615,,1314
KU Leuven,tau_b,kernelshap_prob,kernelshap_prob,self,0.8132637529897804,0.7959485431374336,0.8286138248382872,,1314
KU Leuven,tau_b,shap,occlusion,cross,0.5890031199802547,0.568435729095293,0.6098069699338338,,1314
KU Leuven,tau_b,shap,lime,cross,0.3925056171631514,0.3282735797021511,0.45139032070498614,,1314
KU Leuven,tau_b,shap,kernelshap_prob,cross,1.0,1.0,1.0,,1314
KU Leuven,tau_b,occlusion,lime,cross,0.2945538778459965,0.24109368677189902,0.35596251819095215,,1314
KU Leuven,tau_b,occlusion,kernelshap_prob,cross,0.5890031199802547,0.568435729095293,0.6098069699338338,,1314
KU Leuven,tau_b,lime,kernelshap_prob,cross,0.3925056171631514,0.3282735797021511,0.45139032070498614,,1314
UKZN,tau_strict,shap,shap,self,0.7333569363309141,0.7108517991770167,0.762827774197168,0.7870177612556795,2421
UKZN,tau_strict,occlusion,occlusion,self,0.7191085934580359,0.6720611803457812,0.7664906159163659,0.7129326724494011,2421
UKZN,tau_strict,lime,lime,self,0.5128498652662221,0.41658040943827745,0.6074466270456772,0.6340272614622057,2421
UKZN,tau_strict,kernelshap_prob,kernelshap_prob,self,0.7333569363309141,0.7108517991770167,0.762827774197168,0.7870177612556795,2421
UKZN,tau_strict,shap,occlusion,cross,0.4236856080722252,0.36849748275338334,0.4668792977458614,0.5305328376703842,2421
UKZN,tau_strict,shap,lime,cross,0.343167915658622,0.28172097791993655,0.41783707148439253,0.4973151590251962,2421
UKZN,tau_strict,shap,kernelshap_prob,cross,1.0,1.0,1.0,1.0,2421
UKZN,tau_strict,occlusion,lime,cross,0.13647646584449558,0.0666887534547166,0.20633556446951182,0.37819083023543987,2421
UKZN,tau_strict,occlusion,kernelshap_prob,cross,0.4236856080722252,0.36849748275338334,0.4668792977458614,0.5305328376703842,2421
UKZN,tau_strict,lime,kernelshap_prob,cross,0.343167915658622,0.28172097791993655,0.41783707148439253,0.4973151590251962,2421
UKZN,tau_b,shap,shap,self,0.7333569363309141,0.7108517991770167,0.762827774197168,,2421
UKZN,tau_b,occlusion,occlusion,self,0.7030639234792432,0.6674694069780086,0.7431652627743757,,2398
UKZN,tau_b,lime,lime,self,0.5128498652662221,0.41658040943827745,0.6074466270456772,,2421
UKZN,tau_b,kernelshap_prob,kernelshap_prob,self,0.7333569363309141,0.7108517991770167,0.762827774197168,,2421
UKZN,tau_b,shap,occlusion,cross,0.42658728925992434,0.3470462418361728,0.4931815389673188,,2400
UKZN,tau_b,shap,lime,cross,0.343167915658622,0.28172097791993655,0.41783707148439253,,2421
UKZN,tau_b,shap,kernelshap_prob,cross,1.0,1.0,1.0,,2421
UKZN,tau_b,occlusion,lime,cross,0.13787879823156174,0.07729380961647306,0.19987141746138185,,2400
UKZN,tau_b,occlusion,kernelshap_prob,cross,0.42658728925992434,0.3470462418361728,0.4931815389673188,,2400
UKZN,tau_b,lime,kernelshap_prob,cross,0.343167915658622,0.28172097791993655,0.41783707148439253,,2421
Zambia,tau_strict,shap,shap,self,0.7866666666666667,0.7748917748917749,0.8010582010582011,0.8230000000000001,40
Zambia,tau_strict,occlusion,occlusion,self,0.690952380952381,0.6465608465608467,0.7272727272727273,0.6679999999999999,40
Zambia,tau_strict,lime,lime,self,0.5090476190476191,0.5037037037037037,0.5134199134199134,0.55725,40
Zambia,tau_strict,kernelshap_prob,kernelshap_prob,self,0.7866666666666667,0.7748917748917749,0.8010582010582011,0.8230000000000001,40
Zambia,tau_strict,shap,occlusion,cross,0.5480952380952381,0.5437229437229438,0.5534391534391534,0.6125,40
Zambia,tau_strict,shap,lime,cross,0.5114285714285715,0.4658008658008658,0.5671957671957673,0.6025,40
Zambia,tau_strict,shap,kernelshap_prob,cross,1.0,1.0,1.0,1.0,40
Zambia,tau_strict,occlusion,lime,cross,0.3319047619047619,0.30043290043290044,0.3703703703703704,0.45899999999999996,40
Zambia,tau_strict,occlusion,kernelshap_prob,cross,0.5480952380952381,0.5437229437229438,0.5534391534391534,0.6125,40
Zambia,tau_strict,lime,kernelshap_prob,cross,0.5114285714285715,0.4658008658008658,0.5671957671957673,0.6025,40
Zambia,tau_b,shap,shap,self,0.7866666666666667,0.7748917748917749,0.8010582010582011,,40
Zambia,tau_b,occlusion,occlusion,self,0.6692189519336507,0.6105917702932461,0.7171866460030727,,40
Zambia,tau_b,lime,lime,self,0.5090476190476191,0.5037037037037037,0.5134199134199134,,40
Zambia,tau_b,kernelshap_prob,kernelshap_prob,self,0.7866666666666667,0.7748917748917749,0.8010582010582011,,40
