metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
tau_strict,shap,shap,self,0.8165445614035088,0.7964443828103448,0.8342141274616681,0.856506105263158,11875
tau_strict,occlusion,occlusion,self,0.6791097744360903,0.6494951474013915,0.7081599618670467,0.6995115789473685,11875
tau_strict,lime,lime,self,0.6739384461152883,0.6223586507137708,0.7132969336203283,0.7791166315789474,11875
tau_strict,kernelshap_prob,kernelshap_prob,self,0.8165445614035088,0.7964443828103448,0.8342141274616681,0.856506105263158,11875
tau_strict,shap,occlusion,cross,0.3691412531328321,0.33437122370667005,0.40376372152028805,0.5352842105263158,11875
tau_strict,shap,lime,cross,0.5046977443609023,0.45592887388287356,0.548083721393489,0.660917894736842,11875
tau_strict,shap,kernelshap_prob,cross,1.0,1.0,1.0,1.0,11875
tau_strict,occlusion,lime,cross,0.1592084210526316,0.1322806533576791,0.18728207682400225,0.4381709473684211,11875
tau_strict,occlusion,kernelshap_prob,cross,0.3691412531328321,0.33437122370667005,0.40376372152028805,0.5352842105263158,11875
tau_strict,lime,kernelshap_prob,cross,0.5046977443609023,0.45592887388287356,0.548083721393489,0.660917894736842,11875
tau_b,shap,shap,self,0.8165445614035088,0.7964443828103448,0.8342141274616681,,11875
tau_b,occlusion,occlusion,self,0.6723987082998493,0.6439698117374439,0.6996337912241224,,11852
tau_b,lime,lime,self,0.6739384461152883,0.6223586507137708,0.7132969336203283,,11875
tau_b,kernelshap_prob,kernelshap_prob,self,0.8165445614035088,0.7964443828103448,0.8342141274616681,,11875
tau_b,shap,occlusion,cross,0.37865261346038154,0.3399445430781752,0.41653884721419426,,11854
tau_b,shap,lime,cross,0.5046977443609023,0.45592887388287356,0.548083721393489,,11875
tau_b,shap,kernelshap_prob,cross,1.0,1.0,1.0,,11875
tau_b,occlusion,lime,cross,0.1696267858071549,0.1413819483648974,0.1981148897207626,,11854
tau_b,occlusion,kernelshap_prob,cross,0.37865261346038154,0.3399445430781752,0.41653884721419426,,11854
tau_b,lime,kernelshap_prob,cross,0.5046977443609023,0.45592887388287356,0.548083721393489,,11875
