regime,level,group,students,students_shown,coverage,mean_cross_tau,mean_cross_jaccard_top3,no_gate_cross_tau,lift
global,0.0,KU Leuven,1314,1314,1.0,0.44228639080405563,0.5024200913242008,0.44228639080405563,0.0
global,0.0,OULAD,6829,6829,1.0,0.4130828609083112,0.5215902767608728,0.4130828609083112,0.0
global,0.0,Oviedo,1271,1271,1.0,0.3394641831205899,0.4795279307631786,0.3394641831205899,0.0
global,0.0,UKZN,2421,2421,1.0,0.38013807753584705,0.5062205700123915,0.38013807753584705,0.0
global,0.0,Zambia,40,40,1.0,0.4523809523809524,0.5385,0.4523809523809524,0.0
global,0.0,ALL,11875,11875,1.0,0.40185058317601524,0.5118905263157895,0.40185058317601524,0.0
global,0.05,KU Leuven,1314,1314,1.0,0.44228639080405563,0.5024200913242008,0.44228639080405563,0.0
global,0.05,OULAD,6829,6828,0.9998535656757944,0.4131531229949508,0.5216285881663737,0.4130828609083112,7.026208663962752e-05
global,0.05,Oviedo,1271,1271,1.0,0.3394641831205899,0.4795279307631786,0.3394641831205899,0.0
global,0.05,UKZN,2421,2421,1.0,0.38013807753584705,0.5062205700123915,0.38013807753584705,0.0
global,0.05,Zambia,40,40,1.0,0.4523809523809524,0.5385,0.4523809523809524,0.0
global,0.05,ALL,11875,11874,0.9999157894736842,0.4018900405829415,0.5119117399359946,0.40185058317601524,3.945740692623545e-05
global,0.1,KU Leuven,1314,1314,1.0,0.44228639080405563,0.5024200913242008,0.44228639080405563,0.0
global,0.1,OULAD,6829,6828,0.9998535656757944,0.4131531229949508,0.5216285881663737,0.4130828609083112,7.026208663962752e-05
global,0.1,Oviedo,1271,1271,1.0,0.3394641831205899,0.4795279307631786,0.3394641831205899,0.0
global,0.1,UKZN,2421,2421,1.0,0.38013807753584705,0.5062205700123915,0.38013807753584705,0.0
global,0.1,Zambia,40,40,1.0,0.4523809523809524,0.5385,0.4523809523809524,0.0
global,0.1,ALL,11875,11874,0.9999157894736842,0.4018900405829415,0.5119117399359946,0.40185058317601524,3.945740692623545e-05
global,0.15,KU Leuven,1314,1314,1.0,0.44228639080405563,0.5024200913242008,0.44228639080405563,0.0
global,0.15,OULAD,6829,6827,0.9997071313515888,0.41322061562284207,0.5216493335286363,0.4130828609083112,0.00013775471453086885
