regime,metric,includes_zambia,min_group,min,max_group,max,spread,spread_ci_low,spread_ci_high,spread_n_boot
no_gate,coverage,True,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,True,Oviedo,0.3394641831205899,Zambia,0.4523809523809524,0.11291676926036248,0.06466368969682998,0.2952279397279711,1000
global,coverage,True,Oviedo,0.45239968528717545,KU Leuven,0.6643835616438356,0.21198387635666016,0.10642936150842,0.4755377371849334,1000
global,mean_cross_tau,True,Oviedo,0.3922123023890311,KU Leuven,0.4874154799240207,0.09520317753498958,0.07112933152277404,0.23845296143726877,1000
cohort_calibrated,coverage,True,OULAD,0.5352174549714453,Zambia,0.55,0.014782545028554694,0.010026235957036233,0.02050480332040997,1000
cohort_calibrated,mean_cross_tau,True,Oviedo,0.3483212111351962,KU Leuven,0.47786706624830294,0.12954585511310673,0.07510005563329379,0.32836213321681923,1000
oracle,coverage,True,OULAD,0.5352174549714453,Zambia,0.55,0.014782545028554694,0.010026235957036233,0.02050480332040997,1000
oracle,mean_cross_tau,True,Oviedo,0.46879084299365104,OULAD,0.57328121946453,0.104490376470879,0.06803479197222549,0.2525604635738463,1000
no_gate,coverage,False,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,False,Oviedo,0.3394641831205899,KU Leuven,0.44228639080405563,0.10282220768346573,0.03853865262615974,0.2298419998188272,1000
global,coverage,False,Oviedo,0.45239968528717545,KU Leuven,0.6643835616438356,0.21198387635666016,0.07181261481648203,0.37243138928308184,1000
global,mean_cross_tau,False,Oviedo,0.3922123023890311,KU Leuven,0.4874154799240207,0.09520317753498958,0.041901057124528907,0.21696719170054946,1000
cohort_calibrated,coverage,False,OULAD,0.5352174549714453,Oviedo,0.5436664044059796,0.008448949434534225,0.005508448430925961,0.012703345415753301,1000
cohort_calibrated,mean_cross_tau,False,Oviedo,0.3483212111351962,KU Leuven,0.47786706624830294,0.12954585511310673,0.057730042053689014,0.2628414518470684,1000
oracle,coverage,False,OULAD,0.5352174549714453,Oviedo,0.5436664044059796,0.008448949434534225,0.005508448430925961,0.012703345415753301,1000
oracle,mean_cross_tau,False,Oviedo,0.46879084299365104,OULAD,0.57328121946453,0.104490376470879,0.052177415646869216,0.2302826351449491,1000
