regime,metric,includes_zambia,min_group,min,max_group,max,spread,spread_ci_low,spread_ci_high,spread_n_boot
no_gate,coverage,True,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,True,OULAD,0.2591051518315173,KU Leuven,0.5955121812276057,0.33640702939608846,0.29307834364778573,0.3871287229967073,1000
global,coverage,True,Oviedo,0.46634225466342255,KU Leuven,0.6643835616438356,0.19804130698041306,0.09761369468979234,0.4755377371849334,1000
global,mean_cross_tau,True,OULAD,0.3470444021528905,KU Leuven,0.6266924452556356,0.2796480431027451,0.21851576052147395,0.34283049750147626,1000
cohort_calibrated,coverage,True,KU Leuven,0.5372907153729072,Zambia,0.55,0.012709284627092865,0.007895364020890448,0.018928639030853733,1000
cohort_calibrated,mean_cross_tau,True,OULAD,0.36083277615764336,KU Leuven,0.6289586066047562,0.26812583044711286,0.20940491191290017,0.32683255084593565,1000
oracle,coverage,True,KU Leuven,0.5372907153729072,Zambia,0.55,0.012709284627092865,0.007895364020890448,0.018928639030853733,1000
oracle,mean_cross_tau,True,OULAD,0.4780720507885892,KU Leuven,0.7039183301827718,0.22584627939418261,0.18068360579989526,0.27217328558594767,1000
no_gate,coverage,False,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,False,OULAD,0.2591051518315173,KU Leuven,0.5955121812276057,0.33640702939608846,0.29307834364778573,0.3871287229967073,1000
global,coverage,False,Oviedo,0.46634225466342255,KU Leuven,0.6643835616438356,0.19804130698041306,0.06672636791662365,0.35219885623883107,1000
global,mean_cross_tau,False,OULAD,0.3470444021528905,KU Leuven,0.6266924452556356,0.2796480431027451,0.21833314192225553,0.34283049750147626,1000
cohort_calibrated,coverage,False,KU Leuven,0.5372907153729072,Oviedo,0.5442011354420113,0.0069104200691041395,0.003973180800009008,0.0113414083157889,1000
cohort_calibrated,mean_cross_tau,False,OULAD,0.36083277615764336,KU Leuven,0.6289586066047562,0.26812583044711286,0.2082571051075451,0.32683255084593565,1000
oracle,coverage,False,KU Leuven,0.5372907153729072,Oviedo,0.5442011354420113,0.0069104200691041395,0.003973180800009008,0.0113414083157889,1000
oracle,mean_cross_tau,False,OULAD,0.4780720507885892,KU Leuven,0.7039183301827718,0.22584627939418261,0.18068360579989526,0.27217328558594767,1000
