regime,level,group,students,students_shown,mean_cross_jaccard_top3,no_gate_cross_tau,coverage,coverage_ci_low,coverage_ci_high,coverage_n_boot,mean_cross_tau,mean_cross_tau_ci_low,mean_cross_tau_ci_high,mean_cross_tau_n_boot,lift,lift_ci_low,lift_ci_high,lift_n_boot,efficiency,efficiency_ci_low,efficiency_ci_high,efficiency_n_boot
no_gate,,KU Leuven,1314,1314,0.536027397260274,0.45354276514525893,1.0,1.0,1.0,1000,0.45354276514525893,0.40883781592236934,0.4974045837110945,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,OULAD,6829,6829,0.5838043637428614,0.46592473275735835,1.0,1.0,1.0,1000,0.46592473275735835,0.41293690593450394,0.5058537419245079,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Oviedo,1271,1271,0.45820613690007866,0.28348328374914333,1.0,1.0,1.0,1000,0.28348328374914333,0.16905998601349226,0.38652197381941517,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,UKZN,2421,2421,0.5302437009500207,0.39881591628803525,1.0,1.0,1.0,1000,0.39881591628803525,0.33867642225970096,0.46974948590442545,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Zambia,40,40,0.642,0.508095238095238,1.0,1.0,1.0,1000,0.508095238095238,0.4753246753246753,0.5481481481481482,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,ALL,11875,11875,0.5543511578947369,0.4314879654655305,1.0,1.0,1.0,1000,0.4314879654655305,0.3944249021126611,0.46305279324891385,1000,0.0,0.0,0.0,1000,,,,0
global,0.8,KU Leuven,1314,809,0.5684796044499382,0.45354276514525893,0.6156773211567732,0.49855620737982326,0.7456523527394612,1000,0.5017533761833051,0.47465519480364937,0.5317422149726259,1000,0.048210611038046136,0.018717210194718753,0.08078023218141264,1000,0.38842643785772035,0.21443228719193672,0.5139242423765783,1000
global,0.8,OULAD,6829,3707,0.6443701106015646,0.46592473275735835,0.5428320398301362,0.5011945039540492,0.5815350815106265,1000,0.5621616761082636,0.5177133740109762,0.5979355981928203,1000,0.09623694335090527,0.08132952659888702,0.11461984326666586,1000,0.569236152299656,0.4978482095950891,0.6444133487532886,1000
global,0.8,Oviedo,1271,579,0.49713298791018995,0.28348328374914333,0.4555468135326515,0.37067679975801576,0.5502693240817119,1000,0.3505517567129209,0.2493258264144928,0.444064130749006,1000,0.06706847296377755,0.0155721479720001,0.12061014465529322,1000,0.3746160514051207,0.08414604786152625,0.6413028632523229,1000
global,0.8,UKZN,2421,1141,0.5829447852760736,0.39881591628803525,0.47129285419248246,0.39759239192070917,0.5735915200769007,1000,0.4767330244981428,0.40095662159200285,0.5461047723011105,1000,0.07791710821010756,0.048791840413413064,0.10287150435920242,1000,0.4772250634647796,0.26960963623997514,0.6657489660034059,1000
global,0.8,Zambia,40,20,0.671,0.508095238095238,0.5,0.45454545454545453,0.5555555555555556,1000,0.5704761904761905,0.5676190476190477,0.5733333333333334,1000,0.062380952380952426,0.0251851851851852,0.09229437229437237,1000,0.5097276264591439,0.21955719557195574,0.7078353253652061,1000
