regime,level,group,students,students_shown,mean_cross_jaccard_top3,no_gate_cross_tau,coverage,coverage_ci_low,coverage_ci_high,coverage_n_boot,mean_cross_tau,mean_cross_tau_ci_low,mean_cross_tau_ci_high,mean_cross_tau_n_boot,lift,lift_ci_low,lift_ci_high,lift_n_boot,efficiency,efficiency_ci_low,efficiency_ci_high,efficiency_n_boot
no_gate,,KU Leuven,1314,1314,0.6331811263318112,0.593485257695669,1.0,1.0,1.0,1000,0.593485257695669,0.5686686514467958,0.6183752925593122,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,OULAD,6829,6829,0.4695065163274271,0.24835191989616723,1.0,1.0,1.0,1000,0.24835191989616723,0.20114523209189197,0.29497101787729985,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Oviedo,1233,1233,0.5641849148418492,0.49415366399546706,1.0,1.0,1.0,1000,0.49415366399546706,0.45625299730233837,0.5325854211903784,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,UKZN,2421,2421,0.5591491119372161,0.4688781503078115,1.0,1.0,1.0,1000,0.4688781503078115,0.4265680058676936,0.5118694450202361,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Zambia,40,40,0.5115000000000001,0.4616119154276084,1.0,1.0,1.0,1000,0.4616119154276084,0.37930248667821437,0.5289559934952944,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,ALL,11837,11837,0.5160141927853341,0.3580928305991182,1.0,1.0,1.0,1000,0.3580928305991182,0.32674604863073126,0.3898552052807325,1000,0.0,0.0,0.0,1000,,,,0
global,0.8,KU Leuven,1314,756,0.6504761904761904,0.593485257695669,0.5753424657534246,0.5083495970219379,0.640840538991522,1000,0.631439608273491,0.605637840642144,0.668273922915155,1000,0.03795435057782204,0.026930533787498497,0.0533862335516484,1000,0.3700512522652157,0.3013464679777514,0.47815678346410534,1000
global,0.8,OULAD,6829,4035,0.5270334572490706,0.24835191989616723,0.5908624981695709,0.524005622916434,0.6582429376431033,1000,0.32672032986048993,0.27102929847415047,0.3790422829665848,1000,0.0783684099643227,0.05686852804288136,0.10105771591799197,1000,0.4197136958435331,0.31668398472014836,0.5139360361812023,1000
global,0.8,Oviedo,1233,725,0.5975172413793103,0.49415366399546706,0.5879967558799676,0.4659642925775781,0.6969533615555715,1000,0.5628564156868896,0.5268711695975619,0.5967812832555519,1000,0.06870275169142254,0.03989500596629368,0.10037228442701018,1000,0.5053939320996458,0.38480124534830995,0.5916293305903417,1000
global,0.8,UKZN,2421,1071,0.5988795518207283,0.4688781503078115,0.4423791821561338,0.34049497467881235,0.5569890814075071,1000,0.5361691226285292,0.492309899832063,0.5786249299241679,1000,0.06729097232071773,0.041292702977816675,0.09521997829419776,1000,0.37841675642036343,0.24189847808504997,0.5233315383724852,1000
global,0.8,Zambia,40,7,0.5971428571428571,0.4616119154276084,0.175,0.05555555555555555,0.2727272727272727,1000,0.5896446772174349,0.507814226656558,0.6032830856442476,1000,0.12803276178982648,0.07432709214895317,0.1285117399783436,1000,0.8084520627256855,0.5051555218124266,0.8084520627256855,1000
global,0.8,ALL,11837,6594,0.5606794055201698,0.3580928305991182,0.5570668243642815,0.5079541556971202,0.6050603995871485,1000,0.42191695773286436,0.38468710751263197,0.4587908532056007,1000,0.06382412713374619,0.045949247013942325,0.08251662283150063,1000,0.36661873157823227,0.26486907591117936,0.4649903756670493,1000
cohort_calibrated,0.5570668243642815,KU Leuven,1314,735,0.6532244897959184,0.593485257695669,0.5593607305936074,0.5583503668763102,0.5606060606060606,1000,0.6351930325735087,0.6123422796376826,0.6643150811245381,1000,0.04170777487783972,0.031119184895596712,0.05171165717159887,1000,0.3916015395821394,0.32183086802798416,0.4673145406428741,1000
cohort_calibrated,0.5570668243642815,OULAD,6829,3809,0.5322289314780783,0.24835191989616723,0.5577683408991068,0.5575420474109389,0.5581358006250574,1000,0.33493075309690795,0.2814693168220613,0.3919088901539177,1000,0.08657883320074072,0.065345726965472,0.10782489839597077,1000,0.42769065842821957,0.33305966460644215,0.5084666022665523,1000
cohort_calibrated,0.5570668243642815,Oviedo,1233,698,0.6075071633237823,0.49415366399546706,0.5660989456609895,0.5627277468720296,0.5714285714285714,1000,0.5545940131281263,0.5184567654949613,0.5888854340086205,1000,0.06044034913265922,0.04456664513271946,0.07461281591434397,1000,0.4166988758666687,0.3185348625689788,0.49690700338045757,1000
cohort_calibrated,0.5570668243642815,UKZN,2421,1357,0.5910832719233604,0.4688781503078115,0.560512185047501,0.5593494297353881,0.5626426114981516,1000,0.5222226842332329,0.47700020515792846,0.568146909717856,1000,0.05334453392542143,0.03718443382368278,0.07160162053914555,1000,0.36691263084293024,0.2574674366169986,0.48603649724152204,1000
cohort_calibrated,0.5570668243642815,Zambia,40,24,0.5233333333333333,0.4616119154276084,0.6,0.5909090909090909,0.6111111111111112,1000,0.49135362082629824,0.38989223980826604,0.577205558610787,1000,0.029741705398689866,0.010589753130051671,0.04824956511549261,1000,0.3097082361667163,0.11162476277577221,0.4858133072417121,1000
cohort_calibrated,0.5570668243642815,ALL,11837,6623,0.5656167899743318,0.3580928305991182,0.5595167694517191,0.5590805039851016,0.5600762916890467,1000,0.43034476944819733,0.39677593037348735,0.4642886543156519,1000,0.07225193884907916,0.06026332113969751,0.08512952553697087,1000,0.41502979146755503,0.3513706237641652,0.4750118789667629,1000
oracle,0.5570668243642815,KU Leuven,1314,735,0.7113469387755103,0.593485257695669,0.5593607305936074,0.5583503668763102,0.5606060606060606,1000,0.699990903517042,0.6828703106480136,0.7207407009909289,1000,0.10650564582137301,0.09303355121285618,0.12057256240604342,1000,1.0,1.0,1.0,1000
oracle,0.5570668243642815,OULAD,6829,3809,0.595610396429509,0.24835191989616723,0.5577683408991068,0.5575420474109389,0.5581358006250574,1000,0.45078522418885725,0.40074423894209504,0.5036407748158722,1000,0.20243330429269002,0.18843968898221358,0.22027255451008343,1000,1.0,1.0,1.0,1000
oracle,0.5570668243642815,Oviedo,1233,698,0.6634670487106018,0.49415366399546706,0.5660989456609895,0.5627277468720296,0.5714285714285714,1000,0.6391992895852955,0.6078489143991768,0.6719416495255788,1000,0.14504562558982842,0.13434592098661774,0.15536743997582889,1000,1.0,1.0,1.0,1000
oracle,0.5570668243642815,UKZN,2421,1357,0.6606337509211496,0.4688781503078115,0.560512185047501,0.5593494297353881,0.5626426114981516,1000,0.6142657151972236,0.5803364734237851,0.6506854616342059,1000,0.14538756488941212,0.1313563348240747,0.16142286718794946,1000,1.0,1.0,1.0,1000
oracle,0.5570668243642815,Zambia,40,24,0.5691666666666667,0.4616119154276084,0.6,0.5909090909090909,0.6111111111111112,1000,0.5576432827777484,0.4741716972970444,0.6282730858768056,1000,0.09603136735014006,0.09486921061883002,0.09931709238151121,1000,1.0,1.0,1.0,1000
oracle,0.5570668243642815,ALL,11837,6623,0.6288328552015703,0.3580928305991182,0.5595167694517191,0.5590805039851016,0.5600762916890467,1000,0.5321813908289624,0.5017352752974884,0.5638522420586497,1000,0.17408856022984426,0.16432676038022628,0.18493737178486402,1000,1.0,1.0,1.0,1000
calibrated_minus_global,,KU Leuven,,,,,-0.015981735159817267,-0.08213757770746426,0.051852705193537844,1000,0.0037534243000176826,-0.007822561913165771,0.00824610000373327,1000,0.0037534243000176826,-0.007822561913165771,0.00824610000373327,1000,0.02155028731692371,-0.029581423030201334,0.0364420277425746,1000
calibrated_minus_global,,OULAD,,,,,-0.033094157270464164,-0.10065583125973666,0.03389820702190633,1000,0.008210423236418019,-0.013456680635272352,0.032544941594703024,1000,0.008210423236418019,-0.013456680635272352,0.032544941594703024,1000,0.007976962584686498,-0.08479592944029712,0.09924215362424167,1000
calibrated_minus_global,,Oviedo,,,,,-0.021897810218978075,-0.12909797322287156,0.0991335157639036,1000,-0.008262402558763315,-0.032555362370248524,0.00964925179811414,1000,-0.008262402558763315,-0.032555362370248524,0.00964925179811414,1000,-0.08869505623297708,-0.16342608910318498,-0.01310137125265057,1000
