regime,level,group,students,students_shown,coverage,mean_cross_tau,mean_cross_jaccard_top3,no_gate_cross_tau,lift
global,0.0,KU Leuven,1314,1314,1.0,0.5697034998271973,0.5884322678843227,0.5697034998271973,0.0
global,0.0,OULAD,6829,6829,1.0,0.6966705001503481,0.757408112461561,0.6966705001503481,0.0
global,0.0,Oviedo,1271,1271,1.0,0.5742841287560094,0.6387726199842644,0.5742841287560094,0.0
global,0.0,UKZN,2421,2420,0.9995869475423379,0.5603021568103697,0.6314462809917355,0.5601926714482993,0.00010948536207033843
global,0.0,Zambia,40,40,1.0,0.5833333333333334,0.6585,0.5833333333333334,0.0
global,0.0,ALL,11875,11874,0.9999157894736842,0.6413452016812347,0.7000050530570996,0.6413160558196395,2.914586159519228e-05
global,0.05,KU Leuven,1314,1314,1.0,0.5697034998271973,0.5884322678843227,0.5697034998271973,0.0
global,0.05,OULAD,6829,6829,1.0,0.6966705001503481,0.757408112461561,0.6966705001503481,0.0
global,0.05,Oviedo,1271,1271,1.0,0.5742841287560094,0.6387726199842644,0.5742841287560094,0.0
global,0.05,UKZN,2421,2417,0.9983477901693515,0.5606390371594654,0.6316259826230866,0.5601926714482993,0.0004463657111660746
global,0.05,Zambia,40,40,1.0,0.5833333333333334,0.6585,0.5833333333333334,0.0
global,0.05,ALL,11875,11871,0.9996631578947368,0.64143427327911,0.7000589672310673,0.6413160558196395,0.00011821745947049322
global,0.1,KU Leuven,1314,1314,1.0,0.5697034998271973,0.5884322678843227,0.5697034998271973,0.0
global,0.1,OULAD,6829,6828,0.9998535656757944,0.6967265026087349,0.7574399531341535,0.6966705001503481,5.6002458386772425e-05
global,0.1,Oviedo,1271,1271,1.0,0.5742841287560094,0.6387726199842644,0.5742841287560094,0.0
global,0.1,UKZN,2421,2416,0.9979347377116894,0.5608198440772426,0.6317549668874172,0.5601926714482993,0.0006271726289432955
global,0.1,Zambia,40,40,1.0,0.5833333333333334,0.6585,0.5833333333333334,0.0
global,0.1,ALL,11875,11869,0.9994947368421052,0.6415054480460206,0.7001044738394137,0.6413160558196395,0.0001893922263811465
global,0.15,KU Leuven,1314,1314,1.0,0.5697034998271973,0.5884322678843227,0.5697034998271973,0.0
global,0.15,OULAD,6829,6828,0.9998535656757944,0.6967265026087349,0.7574399531341535,0.6966705001503481,5.6002458386772425e-05
global,0.15,Oviedo,1271,1271,1.0,0.5742841287560094,0.6387726199842644,0.5742841287560094,0.0
