regime,metric,includes_zambia,min_group,min,max_group,max,spread,spread_ci_low,spread_ci_high,spread_n_boot
no_gate,coverage,True,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,True,UKZN,0.5601926714482993,OULAD,0.6966705001503481,0.13647782870204883,0.10906429104837778,0.20554084213342907,1000
global,coverage,True,Zambia,0.25,OULAD,0.6913164445746083,0.4413164445746083,0.19599342939117206,0.7368717596939401,1000
global,mean_cross_tau,True,Zambia,0.5847619047619048,OULAD,0.7476442642297335,0.1628823594678287,0.1414998274222262,0.20142635187068092,751
cohort_calibrated,coverage,True,OULAD,0.6179528481476058,Zambia,0.65,0.03204715185239426,0.018085168826999922,0.048971418168578196,1000
cohort_calibrated,mean_cross_tau,True,UKZN,0.603748440221956,OULAD,0.7575806815617242,0.15383224133976825,0.12974115253909693,0.224397705469482,1000
oracle,coverage,True,OULAD,0.6179528481476058,Zambia,0.65,0.03204715185239426,0.018085168826999922,0.048971418168578196,1000
oracle,mean_cross_tau,True,KU Leuven,0.6484306930709862,OULAD,0.802234258632363,0.15380356556137675,0.13354936734016468,0.21845371518253728,1000
no_gate,coverage,False,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,False,UKZN,0.5601926714482993,OULAD,0.6966705001503481,0.13647782870204883,0.10504851782197928,0.20554084213342907,1000
global,coverage,False,Oviedo,0.5019669551534225,OULAD,0.6913164445746083,0.1893494894211858,0.11536786769617881,0.3135468648692194,1000
global,mean_cross_tau,False,UKZN,0.6172037601464033,OULAD,0.7476442642297335,0.1304405040833302,0.09764948961830404,0.20050609937413563,1000
cohort_calibrated,coverage,False,OULAD,0.6179528481476058,Oviedo,0.6254917387883556,0.007538890640749862,0.004984405422031285,0.010935334035488449,1000
cohort_calibrated,mean_cross_tau,False,UKZN,0.603748440221956,OULAD,0.7575806815617242,0.15383224133976825,0.12090769461628918,0.22393072980316378,1000
oracle,coverage,False,OULAD,0.6179528481476058,Oviedo,0.6254917387883556,0.007538890640749862,0.004984405422031285,0.010935334035488449,1000
oracle,mean_cross_tau,False,KU Leuven,0.6484306930709862,OULAD,0.802234258632363,0.15380356556137675,0.12267342829695879,0.21845371518253728,1000
