regime,level,group,students,students_shown,coverage,mean_cross_tau,mean_cross_jaccard_top3,no_gate_cross_tau,lift
global,0.0,KU Leuven,1314,1314,1.0,0.6694556255965801,0.751324200913242,0.6694556255965801,0.0
global,0.0,OULAD,6829,6829,1.0,0.5262178961875954,0.6593469029140431,0.5262178961875954,0.0
global,0.0,Oviedo,1233,1233,1.0,0.5585067202937006,0.6995458231954582,0.5585067202937006,0.0
global,0.0,UKZN,2421,2420,0.9995869475423379,0.5815140231702974,0.6874876033057852,0.5812953966977616,0.00021862647253578782
global,0.0,Zambia,40,40,1.0,0.501072048624261,0.608,0.501072048624261,0.0
global,0.0,ALL,11837,11836,0.9999155191349159,0.5567043181174568,0.6793257857384252,0.5566616987895058,4.261932795102119e-05
global,0.05,KU Leuven,1314,1314,1.0,0.6694556255965801,0.751324200913242,0.6694556255965801,0.0
global,0.05,OULAD,6829,6829,1.0,0.5262178961875954,0.6593469029140431,0.5262178961875954,0.0
global,0.05,Oviedo,1233,1233,1.0,0.5585067202937006,0.6995458231954582,0.5585067202937006,0.0
global,0.05,UKZN,2421,2417,0.9983477901693515,0.5818471670588135,0.6877534133223003,0.5812953966977616,0.0005517703610518065
global,0.05,Zambia,40,40,1.0,0.501072048624261,0.608,0.501072048624261,0.0
global,0.05,ALL,11837,11833,0.9996620765396638,0.5567660758850039,0.6793780106481873,0.5566616987895058,0.00010437709549815377
global,0.1,KU Leuven,1314,1314,1.0,0.6694556255965801,0.751324200913242,0.6694556255965801,0.0
global,0.1,OULAD,6829,6828,0.9998535656757944,0.5262907793843757,0.6593731693028705,0.5262178961875954,7.288319678033783e-05
global,0.1,Oviedo,1233,1233,1.0,0.5585067202937006,0.6995458231954582,0.5585067202937006,0.0
global,0.1,UKZN,2421,2416,0.9979347377116894,0.5819587395520732,0.6877980132450331,0.5812953966977616,0.0006633428543115771
global,0.1,Zambia,40,40,1.0,0.501072048624261,0.608,0.501072048624261,0.0
global,0.1,ALL,11837,11831,0.9994931148094957,0.5568313850473617,0.6794032626151635,0.5566616987895058,0.00016968625785596103
global,0.15,KU Leuven,1314,1314,1.0,0.6694556255965801,0.751324200913242,0.6694556255965801,0.0
global,0.15,OULAD,6829,6828,0.9998535656757944,0.5262907793843757,0.6593731693028705,0.5262178961875954,7.288319678033783e-05
global,0.15,Oviedo,1233,1233,1.0,0.5585067202937006,0.6995458231954582,0.5585067202937006,0.0
global,0.15,UKZN,2421,2413,0.996695580338703,0.5823015672340203,0.6879651885619561,0.5812953966977616,0.0010061705362586215
global,0.15,Zambia,40,40,1.0,0.501072048624261,0.608,0.501072048624261,0.0
global,0.15,ALL,11837,11828,0.9992396722142435,0.5568949512574585,0.6794352384173148,0.5566616987895058,0.00023325246795269372
global,0.2,KU Leuven,1314,1313,0.9992389649923896,0.6696848453299639,0.7514851485148515,0.6694556255965801,0.00022921973338374535
global,0.2,OULAD,6829,6825,0.9994142627031776,0.5264285532624192,0.6594842490842491,0.5262178961875954,0.0002106570748238168
global,0.2,Oviedo,1233,1232,0.9991889699918897,0.5586881597091903,0.6997727272727273,0.5585067202937006,0.00018143941548964815
global,0.2,UKZN,2421,2411,0.9958694754233788,0.5824944973658376,0.6880879303193695,0.5812953966977616,0.0011991006680759364
global,0.2,Zambia,40,40,1.0,0.501072048624261,0.608,0.501072048624261,0.0
global,0.2,ALL,11837,11821,0.9986483061586551,0.55705202654513,0.6795617968023009,0.5566616987895058,0.00039032775562419797
