regime,metric,includes_zambia,min_group,min,max_group,max,spread,spread_ci_low,spread_ci_high,spread_n_boot
no_gate,coverage,True,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,True,Zambia,0.501072048624261,KU Leuven,0.6694556255965801,0.1683835769723191,0.08453926582545136,0.2804661454591244,1000
global,coverage,True,Zambia,0.25,OULAD,0.6913164445746083,0.4413164445746083,0.19568157030703967,0.7368717596939401,1000
global,mean_cross_tau,True,OULAD,0.612752828283307,KU Leuven,0.8048790735648914,0.1921262452815844,0.13336110931949421,0.25684187910334366,751
cohort_calibrated,coverage,True,OULAD,0.6202957973348953,Zambia,0.65,0.029704202665104762,0.0158622781082519,0.046539995308468196,1000
cohort_calibrated,mean_cross_tau,True,Zambia,0.5985578433709571,KU Leuven,0.7699407157954206,0.17138287242446348,0.11042228966982265,0.2756218887229337,1000
oracle,coverage,True,OULAD,0.6202957973348953,Zambia,0.65,0.029704202665104762,0.0158622781082519,0.046539995308468196,1000
oracle,mean_cross_tau,True,Zambia,0.6141459344410203,KU Leuven,0.7914063438111713,0.17726040937015097,0.08017166702883019,0.29329331296442573,1000
no_gate,coverage,False,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,False,OULAD,0.5262178961875954,KU Leuven,0.6694556255965801,0.14323772940898472,0.06618550145547626,0.23906547654919277,1000
global,coverage,False,Oviedo,0.5174371451743714,OULAD,0.6913164445746083,0.17387929940023683,0.1102686941557878,0.3044156663579197,1000
global,mean_cross_tau,False,OULAD,0.612752828283307,KU Leuven,0.8048790735648914,0.1921262452815844,0.13664563731745738,0.2583713100141942,1000
cohort_calibrated,coverage,False,OULAD,0.6202957973348953,Oviedo,0.6277372262773723,0.007441428942477013,0.0048971096678594285,0.011287163625784972,1000
cohort_calibrated,mean_cross_tau,False,OULAD,0.6250219696261458,KU Leuven,0.7699407157954206,0.1449187461692748,0.09119872667501817,0.23128716902260787,1000
oracle,coverage,False,OULAD,0.6202957973348953,Oviedo,0.6277372262773723,0.007441428942477013,0.0048971096678594285,0.011287163625784972,1000
oracle,mean_cross_tau,False,OULAD,0.6878926931581948,KU Leuven,0.7914063438111713,0.10351365065297646,0.05952433316285245,0.18063166351025123,1000
