regime,level,group,students,students_shown,coverage,mean_cross_tau,mean_cross_jaccard_top3,no_gate_cross_tau,lift
global,0.0,KU Leuven,1314,1314,1.0,0.4201267137866311,0.49855403348554034,0.4201267137866311,0.0
global,0.0,OULAD,6829,6828,0.9998535656757944,0.523603090914163,0.6589367311072056,0.5235445474133423,5.854350082068471e-05
global,0.0,Oviedo,1271,1271,1.0,0.28985247186498764,0.4719118804091266,0.28985247186498764,0.0
global,0.0,UKZN,2421,2421,1.0,0.39846973899018506,0.5131598513011152,0.39846973899018506,0.0
global,0.0,Zambia,40,40,1.0,0.4833333333333334,0.5549999999999999,0.4833333333333334,0.0
global,0.0,ALL,11875,11874,0.9999157894736842,0.46148218543426894,0.5910965133906013,0.46145374984171106,2.843559255788497e-05
global,0.05,KU Leuven,1314,1314,1.0,0.4201267137866311,0.49855403348554034,0.4201267137866311,0.0
global,0.05,OULAD,6829,6828,0.9998535656757944,0.523603090914163,0.6589367311072056,0.5235445474133423,5.854350082068471e-05
global,0.05,Oviedo,1271,1271,1.0,0.28985247186498764,0.4719118804091266,0.28985247186498764,0.0
global,0.05,UKZN,2421,2421,1.0,0.39846973899018506,0.5131598513011152,0.39846973899018506,0.0
global,0.05,Zambia,40,40,1.0,0.4833333333333334,0.5549999999999999,0.4833333333333334,0.0
global,0.05,ALL,11875,11874,0.9999157894736842,0.46148218543426894,0.5910965133906013,0.46145374984171106,2.843559255788497e-05
global,0.1,KU Leuven,1314,1314,1.0,0.4201267137866311,0.49855403348554034,0.4201267137866311,0.0
global,0.1,OULAD,6829,6827,0.9997071313515888,0.5237174524123404,0.6590010253405595,0.5235445474133423,0.0001729049989980247
global,0.1,Oviedo,1271,1271,1.0,0.28985247186498764,0.4719118804091266,0.28985247186498764,0.0
global,0.1,UKZN,2421,2421,1.0,0.39846973899018506,0.5131598513011152,0.39846973899018506,0.0
global,0.1,Zambia,40,40,1.0,0.4833333333333334,0.5549999999999999,0.4833333333333334,0.0
global,0.1,ALL,11875,11873,0.9998315789473684,0.4615427114211785,0.5911277688873916,0.46145374984171106,8.896157946741701e-05
