regime,level,group,students,students_shown,mean_cross_jaccard_top3,no_gate_cross_tau,coverage,coverage_ci_low,coverage_ci_high,coverage_n_boot,mean_cross_tau,mean_cross_tau_ci_low,mean_cross_tau_ci_high,mean_cross_tau_n_boot,lift,lift_ci_low,lift_ci_high,lift_n_boot,efficiency,efficiency_ci_low,efficiency_ci_high,efficiency_n_boot
no_gate,,KU Leuven,1314,1314,0.619558599695586,0.5999742992790641,1.0,1.0,1.0,1000,0.5999742992790641,0.5746807609878709,0.6261362279740262,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,OULAD,6829,6829,0.5006355249670523,0.2827329263472147,1.0,1.0,1.0,1000,0.2827329263472147,0.25631522479132396,0.311851519174852,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Oviedo,1233,1233,0.5450121654501217,0.46829342034583776,1.0,1.0,1.0,1000,0.46829342034583776,0.4397344376736075,0.4992636412889229,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,UKZN,2421,2421,0.5151094589012805,0.44998747338310097,1.0,1.0,1.0,1000,0.44998747338310097,0.39605131076620603,0.5014871478341139,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Zambia,40,40,0.5555,0.45749346366403526,1.0,1.0,1.0,1000,0.45749346366403526,0.4349886670988932,0.4849993261325421,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,ALL,11837,11837,0.5216051364365971,0.3720769267695604,1.0,1.0,1.0,1000,0.3720769267695604,0.3510563449462116,0.39439160546671787,1000,0.0,0.0,0.0,1000,,,,0
global,0.8,KU Leuven,1314,924,0.6373160173160173,0.5999742992790641,0.7031963470319634,0.6156424014127633,0.7997032640949555,1000,0.6273053240583768,0.5971030946798723,0.6654769659341103,1000,0.027331024779312707,0.014533354972466942,0.0431963507890264,1000,0.32571642534341777,0.20252032876667828,0.4504201031472498,1000
global,0.8,OULAD,6829,4232,0.579976370510397,0.2827329263472147,0.6197100600380729,0.5675006567778907,0.6650424655888161,1000,0.3972689496641112,0.36467031423015395,0.43591541207906914,1000,0.1145360233168965,0.09217497348553083,0.14037077205427656,1000,0.6032677657218185,0.5590779168676879,0.6481922449968925,1000
global,0.8,Oviedo,1233,645,0.5991937984496124,0.46829342034583776,0.5231143552311436,0.43998649897830105,0.629563492063492,1000,0.5611579307430171,0.5269774095721312,0.5939921387488687,1000,0.09286451039717936,0.05846273412576158,0.12660497821868696,1000,0.5366092255927017,0.4248071496155839,0.6363009377913759,1000
global,0.8,UKZN,2421,1134,0.5535097001763668,0.44998747338310097,0.4684014869888476,0.3777185115755033,0.5826587493940864,1000,0.5020566963033135,0.44875569220097294,0.5531150074811169,1000,0.05206922292021254,0.033942664082468696,0.07692503515557776,1000,0.27988087192536415,0.18263472443408105,0.4173038776703203,1000
global,0.8,Zambia,40,18,0.6555555555555556,0.45749346366403526,0.45,0.4090909090909091,0.5,1000,0.5703879455336341,0.5056591041078966,0.6351167869593716,1000,0.11289448186959888,0.02065977797535451,0.20012811986047835,1000,0.6552111679635599,0.19623849249426137,0.7962449620384868,1000
global,0.8,ALL,11837,6953,0.5852581619444844,0.3720769267695604,0.5873954549294584,0.5455680465318228,0.6295452644429057,1000,0.46058082214371754,0.43526898907028827,0.4896457240272734,1000,0.08850389537415715,0.07103200479408202,0.10778944589312378,1000,0.49858447967549624,0.4228146373472457,0.5716638663313913,1000
