regime,level,group,students,students_shown,coverage,mean_cross_tau,mean_cross_jaccard_top3,no_gate_cross_tau,lift
global,0.0,KU Leuven,1314,1314,1.0,0.5910561104596812,0.6118569254185693,0.5910561104596812,0.0
global,0.0,OULAD,6829,6829,1.0,0.26166870364127554,0.4737238248645482,0.26166870364127554,0.0
global,0.0,Oviedo,1265,1265,1.0,0.4528217244084326,0.5424347826086956,0.4528217244084326,0.0
global,0.0,UKZN,2373,2373,1.0,0.47145071005554734,0.5824020227560051,0.47145071005554734,0.0
global,0.0,Zambia,40,40,1.0,0.531840960967261,0.564,0.531840960967261,0.0
global,0.0,ALL,11821,11821,1.0,0.3617654141855565,0.5185534218763218,0.3617654141855565,0.0
global,0.05,KU Leuven,1314,1314,1.0,0.5910561104596812,0.6118569254185693,0.5910561104596812,0.0
global,0.05,OULAD,6829,6829,1.0,0.26166870364127554,0.4737238248645482,0.26166870364127554,0.0
global,0.05,Oviedo,1265,1265,1.0,0.4528217244084326,0.5424347826086956,0.4528217244084326,0.0
global,0.05,UKZN,2373,2373,1.0,0.47145071005554734,0.5824020227560051,0.47145071005554734,0.0
global,0.05,Zambia,40,40,1.0,0.531840960967261,0.564,0.531840960967261,0.0
global,0.05,ALL,11821,11821,1.0,0.3617654141855565,0.5185534218763218,0.3617654141855565,0.0
global,0.1,KU Leuven,1314,1314,1.0,0.5910561104596812,0.6118569254185693,0.5910561104596812,0.0
global,0.1,OULAD,6829,6829,1.0,0.26166870364127554,0.4737238248645482,0.26166870364127554,0.0
global,0.1,Oviedo,1265,1265,1.0,0.4528217244084326,0.5424347826086956,0.4528217244084326,0.0
global,0.1,UKZN,2373,2373,1.0,0.47145071005554734,0.5824020227560051,0.47145071005554734,0.0
global,0.1,Zambia,40,40,1.0,0.531840960967261,0.564,0.531840960967261,0.0
global,0.1,ALL,11821,11821,1.0,0.3617654141855565,0.5185534218763218,0.3617654141855565,0.0
global,0.15,KU Leuven,1314,1314,1.0,0.5910561104596812,0.6118569254185693,0.5910561104596812,0.0
global,0.15,OULAD,6829,6829,1.0,0.26166870364127554,0.4737238248645482,0.26166870364127554,0.0
global,0.15,Oviedo,1265,1265,1.0,0.4528217244084326,0.5424347826086956,0.4528217244084326,0.0
global,0.15,UKZN,2373,2373,1.0,0.47145071005554734,0.5824020227560051,0.47145071005554734,0.0
global,0.15,Zambia,40,40,1.0,0.531840960967261,0.564,0.531840960967261,0.0
global,0.15,ALL,11821,11821,1.0,0.3617654141855565,0.5185534218763218,0.3617654141855565,0.0
global,0.2,KU Leuven,1314,1314,1.0,0.5910561104596812,0.6118569254185693,0.5910561104596812,0.0
global,0.2,OULAD,6829,6829,1.0,0.26166870364127554,0.4737238248645482,0.26166870364127554,0.0
global,0.2,Oviedo,1265,1265,1.0,0.4528217244084326,0.5424347826086956,0.4528217244084326,0.0
global,0.2,UKZN,2373,2373,1.0,0.47145071005554734,0.5824020227560051,0.47145071005554734,0.0
global,0.2,Zambia,40,40,1.0,0.531840960967261,0.564,0.531840960967261,0.0
global,0.2,ALL,11821,11821,1.0,0.3617654141855565,0.5185534218763218,0.3617654141855565,0.0
global,0.25,KU Leuven,1314,1314,1.0,0.5910561104596812,0.6118569254185693,0.5910561104596812,0.0
global,0.25,OULAD,6829,6829,1.0,0.26166870364127554,0.4737238248645482,0.26166870364127554,0.0
global,0.25,Oviedo,1265,1265,1.0,0.4528217244084326,0.5424347826086956,0.4528217244084326,0.0
global,0.25,UKZN,2373,2370,0.9987357774968394,0.47162625793955393,0.5825569620253165,0.47145071005554734,0.00017554788400658827
global,0.25,Zambia,40,40,1.0,0.531840960967261,0.564,0.531840960967261,0.0
global,0.25,ALL,11821,11818,0.999746214364267,0.361772775210898,0.5185682856659334,0.3617654141855565,7.3610253414901905e-06
global,0.3,KU Leuven,1314,1312,0.9984779299847792,0.591341052380964,0.6120884146341463,0.5910561104596812,0.0002849419212828108
global,0.3,OULAD,6829,6823,0.9991213940547664,0.26180881528411243,0.4737622746592408,0.26166870364127554,0.00014011164283689315
global,0.3,Oviedo,1265,1264,0.9992094861660079,0.45300673353364207,0.5425632911392405,0.4528217244084326,0.00018500912520946766
global,0.3,UKZN,2373,2365,0.9966287399915719,0.47216582389812295,0.5829175475687103,0.47145071005554734,0.0007151138425756098
global,0.3,Zambia,40,40,1.0,0.531840960967261,0.564,0.531840960967261,0.0
global,0.3,ALL,11821,11804,0.9985618813975129,0.3619711394909861,0.5186801084378178,0.3617654141855565,0.00020572530542956047
global,0.35,KU Leuven,1314,1312,0.9984779299847792,0.591341052380964,0.6120884146341463,0.5910561104596812,0.0002849419212828108
global,0.35,OULAD,6829,6819,0.9985356567579441,0.2618125703365549,0.4737850124651708,0.26166870364127554,0.00014386669527938212
global,0.35,Oviedo,1265,1264,0.9992094861660079,0.45300673353364207,0.5425632911392405,0.4528217244084326,0.00018500912520946766
global,0.35,UKZN,2373,2347,0.9890434049726086,0.4742758004449925,0.5842266723476779,0.47145071005554734,0.002825090389445173
global,0.35,Zambia,40,40,1.0,0.531840960967261,0.564,0.531840960967261,0.0
global,0.35,ALL,11821,11782,0.9967007867354708,0.36225927950419323,0.5188711593956884,0.3617654141855565,0.0004938653186367103
global,0.4,KU Leuven,1314,1309,0.9961948249619482,0.5917944834840547,0.6123300229182582,0.5910561104596812,0.0007383730243735176
global,0.4,OULAD,6829,6812,0.9975106164885049,0.2621392431909236,0.47390487375220197,0.26166870364127554,0.00047053954964804134
global,0.4,Oviedo,1265,1258,0.9944664031620554,0.4540817301401443,0.5433704292527821,0.4528217244084326,0.0012600057317116997
global,0.4,UKZN,2373,2319,0.97724399494311,0.4776056842205235,0.5861836998706339,0.47145071005554734,0.006154974164976179
global,0.4,Zambia,40,40,1.0,0.531840960967261,0.564,0.531840960967261,0.0
global,0.4,ALL,11821,11738,0.9929785974113865,0.3629602607053659,0.5192758561935594,0.3617654141855565,0.0011948465198093894
global,0.45,KU Leuven,1314,1303,0.9916286149162862,0.5923737411934332,0.6127244819646969,0.5910561104596812,0.0013176307337520177
global,0.45,OULAD,6829,6799,0.9956069702738322,0.2625826018581458,0.47416678923371086,0.26166870364127554,0.0009138982168702681
global,0.45,Oviedo,1265,1255,0.9920948616600791,0.4543005245854096,0.5434262948207171,0.4528217244084326,0.001478800176976991
global,0.45,UKZN,2373,2272,0.9574378423935946,0.48152996071758436,0.5883362676056338,0.47145071005554734,0.01007925066203702
global,0.45,Zambia,40,40,1.0,0.531840960967261,0.564,0.531840960967261,0.0
global,0.45,ALL,11821,11669,0.9871415277895271,0.3635803378483424,0.5196246464992715,0.3617654141855565,0.0018149236627859056
global,0.5,KU Leuven,1314,1295,0.9855403348554034,0.5934951216579454,0.612957528957529,0.5910561104596812,0.002439011198264174
global,0.5,OULAD,6829,6770,0.99136037487187,0.2633497765625447,0.4747001477104874,0.26166870364127554,0.0016810729212691777
global,0.5,Oviedo,1265,1247,0.9857707509881423,0.455913158717794,0.5441058540497193,0.4528217244084326,0.003091434309361374
global,0.5,UKZN,2373,2221,0.9359460598398651,0.4839596095462207,0.590013507429086,0.47145071005554734,0.012508899490673353
global,0.5,Zambia,40,40,1.0,0.531840960967261,0.564,0.531840960967261,0.0
global,0.5,ALL,11821,11573,0.9790203874460706,0.36430707768404064,0.5200881361790375,0.3617654141855565,0.0025416634984841147
global,0.55,KU Leuven,1314,1276,0.9710806697108066,0.5965707575771579,0.6148119122257053,0.5910561104596812,0.005514647117476734
global,0.55,OULAD,6829,6712,0.9828671840679455,0.2652957475255881,0.47598033373063164,0.26166870364127554,0.003627043884312564
